Time_Sec,Weighted_Value
135.266667,-0.053286400000000005
135.3,-0.08218380000000002
135.333333,-0.09752620000000001
135.366667,-0.0976462
135.4,-0.08396000000000002
135.433333,-0.060256000000000004
135.466667,-0.0316762
135.5,-0.0035427999999999996
135.533333,0.019560200000000003
135.566667,0.034204399999999996
135.6,0.038376200000000006
135.633333,0.032102
135.666667,0.018159999999999996
135.7,0.0021256
135.733333,-0.008598600000000001
135.766667,-0.006575000000000001
135.8,0.0132594
135.833333,0.05102720000000001
135.866667,0.1004094
135.9,0.14950580000000002
135.933333,0.1841652
135.966667,0.1924892
136.0,0.1687498
136.033333,0.1151952
136.066667,0.04087400000000001
136.1,-0.042019400000000005
136.133333,-0.12216099999999999
136.166667,-0.19121200000000002
136.2,-0.24344440000000003
136.233333,-0.27414400000000005
136.266667,-0.2786216
136.3,-0.2529846
136.333333,-0.1966474
136.366667,-0.11518040000000002
136.4,-0.021313
136.433333,0.0673952
136.466667,0.13385
136.5,0.16749940000000002
136.533333,0.16829560000000005
136.566667,0.1462536
136.6,0.11639440000000001
136.633333,0.091556
136.666667,0.0768838
136.7,0.06871080000000002
136.733333,0.05810160000000001
136.766667,0.037161
136.8,0.004851000000000001
136.833333,-0.031062000000000003
136.866667,-0.0574846
136.9,-0.0630164
136.933333,-0.04417940000000001
136.966667,-0.007366800000000001
137.0,0.0338456
137.033333,0.064049
137.066667,0.07169160000000001
137.1,0.0532732
137.133333,0.0145382
137.166667,-0.0319658
137.2,-0.0718302
137.233333,-0.0938842
137.266667,-0.0934428
137.3,-0.0729426
137.333333,-0.04014940000000001
137.366667,-0.004982200000000001
137.4,0.023523600000000002
137.433333,0.0390392
137.466667,0.0386886
137.5,0.023384799999999997
137.533333,-0.0022348000000000003
137.566667,-0.030791000000000002
137.6,-0.0540746
137.633333,-0.0652784
137.666667,-0.060952
137.7,-0.04214300000000001
137.733333,-0.014068600000000002
137.766667,0.0158858
137.8,0.04096520000000001
137.833333,0.05721200000000001
137.866667,0.064185
137.9,0.06427640000000001
137.933333,0.060991800000000006
137.966667,0.05689600000000001
138.0,0.05238180000000001
138.033333,0.0460408
138.066667,0.03611060000000001
138.1,0.021747400000000004
138.133333,0.0035018
138.166667,-0.016830400000000002
138.2,-0.036753400000000006
138.233333,-0.053837800000000005
138.266667,-0.0662798
138.3,-0.0729492
138.333333,-0.07325820000000002
138.366667,-0.067321
